model,brand,year,title_status,mileage,color,state,condition,price,clase
compass,jeep,2019,clean vehicle,32501.0,red,north carolina,2 days left,17900,0
camaro,chevrolet,2017,clean vehicle,28395.0,black,florida,22 hours left,18300,0
door,ford,2017,clean vehicle,36139.0,blue,texas,2 days left,4640,0
door,ford,2016,clean vehicle,84413.0,black,pennsylvania,3 days left,24000,1
door,gmc,2017,clean vehicle,33457.0,white,california,20 hours left,13200,0
compass,jeep,2019,clean vehicle,29245.0,gray,north carolina,2 days left,18000,0
equinox,chevrolet,2017,clean vehicle,12783.0,silver,florida,22 hours left,14900,0
door,ford,2017,clean vehicle,17617.0,white,texas,2 days left,4140,0
door,ford,2016,clean vehicle,36855.0,black,pennsylvania,2 days left,11500,0
door,ford,2017,clean vehicle,110316.0,white,texas,2 days left,9110,0
door,chrysler,2015,clean vehicle,88227.0,black,pennsylvania,2 days left,7350,0
door,bmw,2017,clean vehicle,17626.0,gray,michigan,2 days left,24500,1
door,ford,2017,clean vehicle,120353.0,white,texas,2 days left,9300,0
challenger,dodge,2015,clean vehicle,3641.0,white,pennsylvania,2 days left,39800,1
m,bmw,2017,clean vehicle,29355.0,blue,michigan,2 days left,53500,1
door,ford,2017,clean vehicle,39333.0,black,texas,2 days left,15110,0
door,ford,2015,clean vehicle,42930.0,white,pennsylvania,2 days left,34000,1
colorado,chevrolet,2017,clean vehicle,24993.0,black,michigan,20 hours left,26502,1
mpv,ford,2017,clean vehicle,44929.0,black,texas,2 days left,5990,0
focus,ford,2018,clean vehicle,16971.0,black,south carolina,21 hours left,13600,0
door,cadillac,2017,clean vehicle,35598.0,gray,michigan,2 days left,23605,1
mpv,ford,2017,clean vehicle,40455.0,white,texas,2 days left,10780,0
focus,ford,2018,clean vehicle,23164.0,white,south carolina,21 hours left,13800,0
door,cadillac,2017,clean vehicle,19011.0,no_color,michigan,2 days left,25201,1
mpv,ford,2017,clean vehicle,45191.0,white,texas,2 days left,7070,0
focus,ford,2018,clean vehicle,21405.0,white,south carolina,21 hours left,8700,0
malibu,chevrolet,2017,clean vehicle,19117.0,no_color,michigan,17 hours left,18003,0
door,ford,2017,clean vehicle,42104.0,black,texas,2 days left,8530,0
durango,dodge,2018,clean vehicle,49496.0,white,south carolina,21 hours left,23100,1
door,cadillac,2017,clean vehicle,32418.0,white,michigan,2 days left,24500,1
mpv,ford,2017,clean vehicle,29882.0,white,texas,2 days left,7000,0
escape,ford,2018,clean vehicle,34819.0,gold,south carolina,21 hours left,17000,0
1500,chevrolet,2017,clean vehicle,31923.0,white,michigan,2 days left,34002,1
mpv,ford,2017,clean vehicle,29168.0,gray,texas,2 days left,6980,0
charger,dodge,2018,clean vehicle,28307.0,silver,michigan,21 hours left,25000,1
colorado,chevrolet,2017,clean vehicle,33791.0,turquoise,michigan,2 days left,20802,1
