model,brand,year,title_status,mileage,color,state,condition,price,clase
sorento,kia,2017,clean vehicle,53424.0,black,connecticut,5 hours left,14000,0
door,buick,2017,clean vehicle,17940.0,green,illinois,21 hours left,29000,1
flex,ford,2019,clean vehicle,17417.0,gray,michigan,2 days left,23402,1
door,kia,2017,clean vehicle,37125.0,no_color,connecticut,5 hours left,13300,0
x3,bmw,2017,clean vehicle,61428.0,black,wisconsin,2 days left,19700,0
flex,ford,2019,clean vehicle,17025.0,black,michigan,21 hours left,23211,1
sorento,kia,2017,clean vehicle,37668.0,red,connecticut,5 hours left,15500,0
fusion,ford,2019,clean vehicle,15805.0,black,michigan,20 hours left,18111,0
sorento,kia,2017,clean vehicle,43761.0,gray,connecticut,5 hours left,21500,1
mustang,ford,2019,clean vehicle,11342.0,gray,michigan,19 hours left,25511,1
equinox,chevrolet,2017,clean vehicle,35664.0,blue,wisconsin,21 hours left,17700,0
cutaway,chevrolet,2017,clean vehicle,12780.0,white,illinois,21 hours left,28000,1
door,chevrolet,2017,clean vehicle,38458.0,blue,wisconsin,21 hours left,14000,0
door,chevrolet,2017,clean vehicle,34420.0,silver,wisconsin,21 hours left,21700,1
door,chevrolet,2017,clean vehicle,46497.0,white,wisconsin,21 hours left,13500,0
1500,chevrolet,2017,clean vehicle,21268.0,no_color,wisconsin,21 hours left,35500,1
1500,chevrolet,2017,clean vehicle,31029.0,red,wisconsin,21 hours left,29500,1
1500,chevrolet,2017,clean vehicle,40878.0,no_color,wisconsin,21 hours left,25300,1
1500,chevrolet,2016,clean vehicle,20270.0,silver,new jersey,3 days left,21500,1
door,chevrolet,2016,clean vehicle,32984.0,blue,wisconsin,21 hours left,25900,1
door,chevrolet,2016,clean vehicle,75506.0,black,wisconsin,21 hours left,35300,1
door,chevrolet,2016,clean vehicle,39951.0,red,wisconsin,21 hours left,13500,0
corvette,chevrolet,2016,clean vehicle,19403.0,white,illinois,21 hours left,62000,1
corvette,chevrolet,2016,clean vehicle,4445.0,black,illinois,2 days left,46000,1
malibu,chevrolet,2016,clean vehicle,67527.0,gray,wisconsin,21 hours left,9000,0
door,chevrolet,2016,clean vehicle,33588.0,white,wisconsin,21 hours left,25900,1
door,chevrolet,2016,clean vehicle,10103.0,no_color,wisconsin,21 hours left,25800,1
door,chevrolet,2016,clean vehicle,26474.0,gray,wisconsin,21 hours left,17000,0
door,chevrolet,2016,clean vehicle,40253.0,white,wisconsin,21 hours left,12800,0
3500,chevrolet,2016,clean vehicle,39624.0,red,wisconsin,21 hours left,47400,1
door,chevrolet,2016,clean vehicle,48705.0,gray,wisconsin,21 hours left,24400,1
trax,chevrolet,2016,clean vehicle,19659.0,white,wisconsin,2 days left,17100,0
door,chevrolet,2015,clean vehicle,91299.0,no_color,wisconsin,21 hours left,7400,0
door,chevrolet,2015,clean vehicle,81614.0,gold,wisconsin,2 days left,33100,1
trax,chevrolet,2020,clean vehicle,179.0,gray,california,21 hours left,22000,1
1500,chevrolet,2019,clean vehicle,5523.0,no_color,california,2 days left,35000,1
equinox,chevrolet,2019,clean vehicle,29841.0,silver,california,21 hours left,16500,0
1500,chevrolet,2019,clean vehicle,8516.0,silver,california,21 hours left,35300,1
traverse,chevrolet,2018,clean vehicle,42941.0,black,missouri,19 hours left,26900,1
trax,chevrolet,2017,clean vehicle,27498.0,black,california,21 hours left,11600,0
1500,chevrolet,2017,clean vehicle,31141.0,silver,california,21 hours left,28100,1
1500,chevrolet,2017,clean vehicle,20784.0,white,california,21 hours left,27700,1
passenger,chevrolet,2017,clean vehicle,52667.0,white,california,21 hours left,17700,0
volt,chevrolet,2017,clean vehicle,26003.0,no_color,california,21 hours left,16600,0
corvette,chevrolet,2016,clean vehicle,4266.0,red,california,2 days left,63200,1
door,chevrolet,2015,clean vehicle,32332.0,white,california,21 hours left,36800,1
passenger,chevrolet,2018,clean vehicle,44333.0,white,texas,1 days left,19500,0
tahoe,chevrolet,2019,clean vehicle,36198.0,blue,oklahoma,21 hours left,38800,1
tahoe,chevrolet,2019,clean vehicle,33331.0,silver,oklahoma,21 hours left,37500,1
suburban,chevrolet,2019,clean vehicle,43082.0,gray,oklahoma,21 hours left,35000,1
camaro,chevrolet,2019,clean vehicle,24561.0,gray,oklahoma,21 hours left,31100,1
van,chevrolet,2019,clean vehicle,13485.0,white,oklahoma,21 hours left,22600,1
van,chevrolet,2019,clean vehicle,15524.0,white,oklahoma,21 hours left,22400,1
van,chevrolet,2019,clean vehicle,8996.0,white,oklahoma,21 hours left,22700,1
malibu,chevrolet,2019,clean vehicle,47282.0,silver,oklahoma,21 hours left,13700,0
suburban,chevrolet,2019,clean vehicle,34470.0,black,oklahoma,21 hours left,37100,1
colorado,chevrolet,2018,clean vehicle,87264.0,green,oregon,34 minutes,18500,0
2500,chevrolet,2017,clean vehicle,114344.0,white,oregon,34 minutes,18300,0
2500,chevrolet,2017,clean vehicle,111635.0,white,oregon,34 minutes,19000,0
1500,chevrolet,2017,clean vehicle,103955.0,white,oregon,34 minutes,18500,0
door,chevrolet,2016,clean vehicle,66640.0,white,oregon,34 minutes,22500,1
door,chevrolet,2014,clean vehicle,122018.0,white,oregon,34 minutes,14500,0
tahoe,chevrolet,2018,clean vehicle,46915.0,gray,oklahoma,21 hours left,32800,1
malibu,chevrolet,2018,clean vehicle,53599.0,black,oklahoma,21 hours left,12300,0
1500,chevrolet,2018,clean vehicle,41672.0,gray,oklahoma,21 hours left,19600,0
malibu,chevrolet,2018,clean vehicle,36047.0,white,oklahoma,21 hours left,13600,0
spark,chevrolet,2018,clean vehicle,42561.0,red,oklahoma,21 hours left,7200,0
1500,chevrolet,2018,clean vehicle,40345.0,white,oklahoma,21 hours left,19900,0
malibu,chevrolet,2018,clean vehicle,41751.0,gray,oklahoma,21 hours left,13000,0
door,chevrolet,2016,clean vehicle,27593.0,white,oklahoma,21 hours left,19700,0
door,chevrolet,2017,clean vehicle,24009.0,blue,oklahoma,21 hours left,9400,0
1500,chevrolet,2017,clean vehicle,85697.0,white,oklahoma,21 hours left,23800,1
equinox,chevrolet,2019,clean vehicle,25223.0,white,new york,18 hours left,17700,0
door,chevrolet,2015,clean vehicle,27927.0,white,oklahoma,21 hours left,17000,0
door,chevrolet,2014,clean vehicle,135127.0,red,florida,2 days left,14000,0
2500,chevrolet,2018,clean vehicle,55532.0,white,pennsylvania,21 hours left,32100,1
2500,chevrolet,2019,clean vehicle,72172.0,white,pennsylvania,21 hours left,33100,1
2500,chevrolet,2018,clean vehicle,57751.0,white,pennsylvania,21 hours left,31600,1
door,chevrolet,2013,clean vehicle,96314.0,gray,pennsylvania,21 hours left,5100,0
door,chevrolet,2013,clean vehicle,89152.0,blue,pennsylvania,21 hours left,4100,0
door,chevrolet,2014,clean vehicle,114660.0,silver,texas,6 hours left,7200,0
1500,chevrolet,2014,clean vehicle,177322.0,white,texas,7 hours left,12800,0
1500,chevrolet,2019,clean vehicle,36423.0,gray,nebraska,21 hours left,46800,1
van,chevrolet,2019,clean vehicle,23759.0,white,missouri,21 hours left,21800,1
door,chevrolet,2013,clean vehicle,120667.0,gray,texas,9 days left,3000,0
colorado,chevrolet,2017,clean vehicle,65344.0,red,indiana,2 days left,22500,1
suburban,chevrolet,2018,clean vehicle,51347.0,black,missouri,21 hours left,35300,1
volt,chevrolet,2017,clean vehicle,52322.0,black,oklahoma,21 hours left,16500,0
door,chevrolet,2017,clean vehicle,67620.0,black,missouri,2 days left,33000,1
1500,chevrolet,2017,clean vehicle,59965.0,black,missouri,2 days left,31500,1
1500,chevrolet,2017,clean vehicle,28739.0,silver,missouri,2 days left,34500,1
trax,chevrolet,2016,clean vehicle,77429.0,silver,west virginia,2 days left,8000,0
1500,chevrolet,2017,clean vehicle,20847.0,white,west virginia,21 hours left,25000,1
trax,chevrolet,2016,clean vehicle,44280.0,red,west virginia,2 days left,10700,0
door,chevrolet,2016,clean vehicle,86031.0,silver,west virginia,2 days left,13400,0
equinox,chevrolet,2019,clean vehicle,7622.0,gold,west virginia,2 days left,16500,0
traverse,chevrolet,2019,clean vehicle,8067.0,white,west virginia,2 days left,34000,1
trax,chevrolet,2018,clean vehicle,16502.0,white,west virginia,2 days left,14100,0
1500,chevrolet,2019,clean vehicle,20681.0,black,west virginia,2 days left,38600,1
door,chevrolet,2016,clean vehicle,54655.0,blue,missouri,21 hours left,9100,0
door,chevrolet,2016,clean vehicle,57825.0,blue,missouri,21 hours left,8600,0
door,chevrolet,2016,clean vehicle,58856.0,white,oklahoma,21 hours left,22000,1
colorado,chevrolet,2015,clean vehicle,85072.0,white,west virginia,2 days left,8900,0
door,chevrolet,2015,clean vehicle,79506.0,red,west virginia,2 days left,15500,0
door,chevrolet,2015,clean vehicle,85301.0,silver,west virginia,2 days left,3300,0
1500,chevrolet,2015,clean vehicle,69377.0,brown,missouri,2 days left,29000,1
equinox,chevrolet,2020,clean vehicle,15577.0,black,nevada,2 days left,17300,0
traverse,chevrolet,2020,clean vehicle,23470.0,silver,nevada,2 days left,30500,1
impala,chevrolet,2020,clean vehicle,18715.0,silver,nevada,6 hours left,25000,1
cruze,chevrolet,2012,clean vehicle,61258.0,white,illinois,21 hours left,2800,0
door,chevrolet,2012,clean vehicle,131791.0,no_color,illinois,21 hours left,3300,0
suburban,chevrolet,2019,clean vehicle,35705.0,silver,nevada,2 days left,36400,1
suburban,chevrolet,2019,clean vehicle,48982.0,silver,nevada,2 days left,34800,1
ld,chevrolet,2019,clean vehicle,33745.0,white,nevada,2 days left,20700,1
suburban,chevrolet,2019,clean vehicle,42267.0,silver,nevada,2 days left,32200,1
tahoe,chevrolet,2019,clean vehicle,46863.0,black,nevada,2 days left,35300,1
suburban,chevrolet,2019,clean vehicle,36443.0,white,nevada,2 days left,33500,1
impala,chevrolet,2019,clean vehicle,14939.0,blue,nevada,9 minutes,13700,0
malibu,chevrolet,2019,clean vehicle,22026.0,black,nevada,1 hours left,15900,0
suburban,chevrolet,2019,clean vehicle,38278.0,black,nevada,2 days left,33200,1
suburban,chevrolet,2019,clean vehicle,46149.0,silver,nevada,2 days left,35500,1
suburban,chevrolet,2018,clean vehicle,48427.0,silver,nevada,2 days left,29800,1
suburban,chevrolet,2018,clean vehicle,48807.0,gray,nevada,2 days left,29800,1
suburban,chevrolet,2018,clean vehicle,52618.0,silver,nevada,2 days left,29500,1
suburban,chevrolet,2018,clean vehicle,46494.0,white,nevada,2 days left,30300,1
1500,chevrolet,2018,clean vehicle,56296.0,black,new york,18 hours left,24300,1
suburban,chevrolet,2017,clean vehicle,33909.0,silver,nevada,2 days left,29800,1
suburban,chevrolet,2017,clean vehicle,33028.0,white,nevada,2 days left,29800,1
camaro,chevrolet,2016,clean vehicle,44653.0,white,nevada,Listing Expired,27500,1
door,chevrolet,2017,clean vehicle,80516.0,gray,new jersey,18 hours left,10800,0
van,chevrolet,2017,clean vehicle,105151.0,white,new jersey,18 hours left,11500,0
van,chevrolet,2017,clean vehicle,78368.0,white,new jersey,18 hours left,10400,0
equinox,chevrolet,2018,clean vehicle,78956.0,white,florida,Listing Expired,11400,0
equinox,chevrolet,2018,clean vehicle,88564.0,white,florida,Listing Expired,11400,0
door,chevrolet,2015,clean vehicle,78800.0,white,nevada,Listing Expired,8000,0
door,chevrolet,2012,clean vehicle,111856.0,white,california,5 hours left,3000,0
door,chevrolet,2015,clean vehicle,80946.0,black,nevada,Listing Expired,25000,1
traverse,chevrolet,2017,clean vehicle,83168.0,gray,new york,18 hours left,12300,0
traverse,chevrolet,2017,clean vehicle,58606.0,white,new york,18 hours left,14100,0
van,chevrolet,2014,clean vehicle,82020.0,white,nevada,9 minutes,9000,0
door,chevrolet,2014,clean vehicle,102500.0,black,nevada,2 days left,4200,0
van,chevrolet,2019,clean vehicle,8150.0,white,texas,2 days left,22500,1
van,chevrolet,2019,clean vehicle,6159.0,white,texas,2 days left,22600,1
van,chevrolet,2019,clean vehicle,5938.0,white,texas,2 days left,22600,1
van,chevrolet,2019,clean vehicle,9019.0,white,texas,2 days left,22500,1
malibu,chevrolet,2018,clean vehicle,45836.0,white,texas,2 days left,10200,0
3500,chevrolet,2016,clean vehicle,60215.0,white,texas,2 days left,42700,1
tahoe,chevrolet,2015,clean vehicle,125507.0,white,texas,2 days left,21200,1
door,chevrolet,2016,clean vehicle,90944.0,white,texas,2 days left,22700,1
tahoe,chevrolet,2015,clean vehicle,82785.0,gray,texas,2 days left,22000,1
1500,chevrolet,2014,clean vehicle,150525.0,white,texas,2 days left,9600,0
door,chevrolet,2013,clean vehicle,112267.0,silver,texas,2 days left,10500,0
door,chevrolet,2013,clean vehicle,139394.0,white,texas,2 days left,6700,0
door,chevrolet,2013,clean vehicle,82543.0,black,texas,2 days left,14200,0
equinox,chevrolet,2019,clean vehicle,13532.0,white,florida,6 hours left,15500,0
1500,chevrolet,2018,clean vehicle,14751.0,blue,kansas,2 days left,35100,1
camaro,chevrolet,2018,clean vehicle,11150.0,gray,kansas,2 days left,26300,1
colorado,chevrolet,2016,clean vehicle,91248.0,white,new jersey,18 hours left,15700,0
1500,chevrolet,2016,clean vehicle,65336.0,white,new jersey,18 hours left,17600,0
1500,chevrolet,2016,clean vehicle,48974.0,white,new jersey,18 hours left,18600,0
1500,chevrolet,2016,clean vehicle,40011.0,white,new jersey,18 hours left,19100,0
equinox,chevrolet,2019,clean vehicle,37444.0,black,north carolina,2 days left,15200,0
equinox,chevrolet,2019,clean vehicle,43199.0,white,north carolina,2 days left,16100,0
equinox,chevrolet,2019,clean vehicle,43589.0,charcoal,north carolina,2 days left,14800,0
equinox,chevrolet,2019,clean vehicle,32870.0,charcoal,north carolina,2 days left,16700,0
equinox,chevrolet,2019,clean vehicle,38826.0,charcoal,north carolina,2 days left,15300,0
equinox,chevrolet,2019,clean vehicle,33739.0,charcoal,north carolina,2 days left,16500,0
passenger,chevrolet,2019,clean vehicle,35309.0,white,north carolina,2 days left,19600,0
impala,chevrolet,2019,clean vehicle,32248.0,red,north carolina,2 days left,15200,0
impala,chevrolet,2019,clean vehicle,36165.0,silver,north carolina,2 days left,15000,0
impala,chevrolet,2019,clean vehicle,29922.0,charcoal,north carolina,2 days left,15500,0
impala,chevrolet,2019,clean vehicle,26848.0,silver,north carolina,2 days left,15700,0
impala,chevrolet,2019,clean vehicle,41163.0,charcoal,north carolina,2 days left,14800,0
cruze,chevrolet,2017,clean vehicle,32856.0,red,north carolina,2 days left,9200,0
impala,chevrolet,2017,clean vehicle,100315.0,black,north carolina,2 days left,8200,0
door,chevrolet,2013,clean vehicle,91638.0,silver,new jersey,18 hours left,11400,0
door,chevrolet,2015,clean vehicle,83173.0,white,north carolina,2 days left,6500,0
door,chevrolet,2014,clean vehicle,94356.0,gray,north carolina,2 days left,11500,0
door,chevrolet,2015,clean vehicle,85792.0,black,florida,2 hours left,23800,1
door,chevrolet,2014,clean vehicle,129068.0,white,florida,1 hours left,8900,0
ld,chevrolet,2019,clean vehicle,27665.0,red,indiana,2 days left,28300,1
ld,chevrolet,2019,clean vehicle,25427.0,black,indiana,2 days left,27300,1
door,chevrolet,2013,clean vehicle,78198.0,gray,new jersey,7 days left,3500,0
colorado,chevrolet,2020,clean vehicle,13886.0,silver,indiana,2 days left,28300,1
impala,chevrolet,2019,clean vehicle,34538.0,silver,indiana,2 days left,18300,0
charger,dodge,2018,clean vehicle,20575.0,silver,wisconsin,2 days left,22500,1
charger,dodge,2018,clean vehicle,26026.0,gray,wisconsin,4 days left,22500,1
door,dodge,2012,clean vehicle,99015.0,gray,wisconsin,1 days left,8300,0
caravan,dodge,2019,clean vehicle,27327.0,gray,nebraska,5 hours left,16500,0
journey,dodge,2019,clean vehicle,30229.0,silver,nebraska,5 hours left,14500,0
charger,dodge,2019,clean vehicle,43294.0,white,ontario,10 days left,30000,1
charger,dodge,2019,clean vehicle,54309.0,orange,ontario,10 days left,30000,1
charger,dodge,2019,clean vehicle,52822.0,white,ontario,10 days left,30000,1
charger,dodge,2019,clean vehicle,45554.0,white,ontario,10 days left,30000,1
charger,dodge,2019,clean vehicle,37538.0,white,ontario,10 days left,30000,1
charger,dodge,2019,clean vehicle,35153.0,red,ontario,10 days left,29500,1
challenger,dodge,2019,clean vehicle,23783.0,white,washington,2 days left,21600,1
charger,dodge,2019,clean vehicle,30759.0,black,washington,2 days left,22600,1
caravan,dodge,2019,clean vehicle,38922.0,gray,washington,2 days left,16300,0
door,dodge,2012,clean vehicle,165836.0,blue,washington,2 days left,8600,0
durango,dodge,2019,clean vehicle,19235.0,no_color,texas,21 hours left,28800,1
challenger,dodge,2019,clean vehicle,9445.0,gray,texas,21 hours left,22100,1
journey,dodge,2018,clean vehicle,19164.0,gray,north carolina,21 hours left,14300,0
caravan,dodge,2018,clean vehicle,54106.0,white,north carolina,21 hours left,13700,0
challenger,dodge,2017,clean vehicle,32051.0,no_color,arizona,21 hours left,29500,1
journey,dodge,2017,clean vehicle,14870.0,gray,texas,21 hours left,18500,0
door,dodge,2016,clean vehicle,32294.0,blue,colorado,21 hours left,19000,0
challenger,dodge,2015,clean vehicle,7250.0,white,arizona,2 days left,43400,1
challenger,dodge,2015,clean vehicle,10145.0,no_color,arizona,21 hours left,46000,1
journey,dodge,2018,clean vehicle,59924.0,silver,texas,2 days left,12500,0
charger,dodge,2017,clean vehicle,21304.0,black,florida,1 days left,13900,0
caravan,dodge,2018,clean vehicle,52079.0,white,california,1 days left,13000,0
caravan,dodge,2018,clean vehicle,54960.0,white,california,1 days left,13000,0
door,dodge,2013,clean vehicle,80099.0,white,texas,19 hours left,3000,0
caravan,dodge,2019,clean vehicle,23987.0,black,florida,2 days left,17500,0
door,dodge,2017,clean vehicle,84144.0,gray,california,2 days left,7900,0
door,dodge,2014,clean vehicle,85639.0,blue,florida,1 days left,8900,0
caravan,dodge,2018,clean vehicle,50193.0,no_color,pennsylvania,21 hours left,11500,0
journey,dodge,2017,clean vehicle,74392.0,black,pennsylvania,21 hours left,6500,0
door,dodge,2017,clean vehicle,76117.0,black,pennsylvania,21 hours left,8000,0
challenger,dodge,2018,clean vehicle,36358.0,gray,new jersey,Listing Expired,18700,0
journey,dodge,2017,clean vehicle,90685.0,white,florida,13 days left,8350,0
charger,dodge,2017,clean vehicle,54141.0,orange,florida,2 days left,27900,1
door,dodge,2016,clean vehicle,82240.0,white,pennsylvania,21 hours left,14500,0
door,dodge,2016,clean vehicle,66167.0,silver,pennsylvania,2 days left,6200,0
door,dodge,2012,clean vehicle,144220.0,gray,pennsylvania,21 hours left,7500,0
caravan,dodge,2019,clean vehicle,24722.0,black,illinois,20 hours left,20200,0
durango,dodge,2019,clean vehicle,41198.0,silver,illinois,20 hours left,29300,1
durango,dodge,2019,clean vehicle,26353.0,black,illinois,24 hours left,31000,1
durango,dodge,2019,clean vehicle,28280.0,white,illinois,1 days left,32400,1
door,dodge,2012,clean vehicle,130120.0,white,minnesota,5 hours left,5800,0
charger,dodge,2019,clean vehicle,15340.0,black,texas,19 hours left,21500,1
charger,dodge,2018,clean vehicle,12265.0,silver,michigan,21 hours left,23100,1
van,dodge,2014,clean vehicle,94872.0,gray,texas,19 hours left,4500,0
charger,dodge,2018,clean vehicle,17946.0,silver,michigan,21 hours left,24800,1
charger,dodge,2018,clean vehicle,26996.0,gray,michigan,21 hours left,23000,1
journey,dodge,2019,clean vehicle,5775.0,gray,wisconsin,21 hours left,26900,1
challenger,dodge,2018,clean vehicle,6748.0,gray,wisconsin,2 days left,21500,1
journey,dodge,2018,clean vehicle,38128.0,white,wisconsin,21 hours left,15700,0
caravan,dodge,2018,clean vehicle,41636.0,silver,wisconsin,21 hours left,15200,0
charger,dodge,2018,clean vehicle,5359.0,blue,wisconsin,2 days left,23300,1
door,dodge,2015,clean vehicle,70296.0,white,minnesota,6 days left,6100,0
journey,dodge,2017,clean vehicle,11346.0,green,wisconsin,21 hours left,20000,0
challenger,dodge,2017,clean vehicle,7415.0,no_color,illinois,21 hours left,53000,1
door,dodge,2013,clean vehicle,107593.0,orange,minnesota,6 days left,3000,0
door,dodge,2016,clean vehicle,50639.0,black,new jersey,7 hours left,18200,0
challenger,dodge,2019,clean vehicle,6530.0,gray,arizona,2 days left,21800,1
charger,dodge,2016,clean vehicle,17432.0,blue,illinois,2 days left,52000,1
charger,dodge,2019,clean vehicle,19636.0,black,arizona,2 days left,19000,0
challenger,dodge,2016,clean vehicle,41748.0,no_color,illinois,2 days left,25000,1
challenger,dodge,2016,clean vehicle,13162.0,red,illinois,2 days left,36000,1
caravan,dodge,2019,clean vehicle,32937.0,white,georgia,8 days left,17000,0
door,dodge,2015,clean vehicle,23095.0,red,wisconsin,21 hours left,25300,1
journey,dodge,2017,clean vehicle,34432.0,gray,wisconsin,22 hours left,14900,0
caravan,dodge,2017,clean vehicle,48162.0,no_color,wisconsin,21 hours left,15000,0
doors,dodge,2014,clean vehicle,68310.0,gray,massachusetts,8 days left,12995,0
doors,dodge,2014,clean vehicle,48000.0,black,massachusetts,8 days left,17750,0
doors,dodge,2014,clean vehicle,105962.0,black,pennsylvania,8 days left,10295,0
doors,dodge,2014,clean vehicle,96575.0,gray,connecticut,8 days left,16995,0
doors,dodge,2014,clean vehicle,13239.0,toreador red,new york,8 days left,25000,1
doors,dodge,2014,clean vehicle,24934.0,bright white clearcoat,rhode island,8 days left,23995,1
doors,dodge,2014,clean vehicle,46859.0,billet silver metallic clearcoat,new jersey,8 days left,14900,0
doors,dodge,2014,clean vehicle,44468.0,black clearcoat,new york,8 days left,15810,0
doors,dodge,2014,clean vehicle,62230.0,jazz blue pearlcoat,new york,8 days left,20227,0
doors,dodge,2014,clean vehicle,37082.0,silver,new york,8 days left,20999,1
doors,dodge,2014,clean vehicle,23964.0,bright white clearcoat,new jersey,8 days left,22499,1
doors,dodge,2014,clean vehicle,11204.0,black clearcoat,new york,8 days left,23495,1
doors,dodge,2014,clean vehicle,7608.0,billet silver metallic clearcoat,new york,8 days left,25250,1
doors,dodge,2014,clean vehicle,49982.0,billet silver metallic clearcoat,new jersey,8 days left,15322,0
charger,dodge,2019,clean vehicle,4950.0,gray,texas,4 days left,21232,1
journey,dodge,2013,clean vehicle,111628.0,white,wisconsin,21 hours left,5800,0
door,dodge,2012,clean vehicle,15927.0,black,illinois,21 hours left,29000,1
caravan,dodge,2018,clean vehicle,36299.0,gray,new jersey,2 days left,17000,0
journey,dodge,2018,clean vehicle,28469.0,red,florida,23 hours left,13800,0
durango,dodge,2019,clean vehicle,29086.0,gray,missouri,8 days left,30000,1
caravan,dodge,2017,clean vehicle,35991.0,gray,florida,23 hours left,14800,0
journey,dodge,2017,clean vehicle,62224.0,black,missouri,7 days left,8500,0
door,dodge,2013,clean vehicle,86500.0,white,missouri,8 days left,9800,0
door,dodge,2014,clean vehicle,144725.0,gray,nevada,22 hours left,4200,0
van,dodge,2013,salvage insurance,163260.0,red,tennessee,15 hours left,2500,0
charger,dodge,2018,clean vehicle,19636.0,blue,california,21 hours left,28700,1
challenger,dodge,2018,clean vehicle,34272.0,gray,california,2 days left,18500,0
challenger,dodge,2018,clean vehicle,42909.0,no_color,california,2 days left,17300,0
door,dodge,2016,clean vehicle,55749.0,gray,louisiana,8 days left,7100,0
door,dodge,2015,salvage insurance,89142.0,white,minnesota,16 hours left,3250,0
durango,dodge,2017,clean vehicle,20328.0,no_color,california,21 hours left,30700,1
door,dodge,2012,clean vehicle,149332.0,gray,missouri,9 days left,3000,0
durango,dodge,2019,clean vehicle,28551.0,gray,california,8 days left,26500,1
charger,dodge,2019,clean vehicle,35098.0,gray,california,8 days left,20800,1
charger,dodge,2019,clean vehicle,35365.0,gray,california,8 days left,20800,1
door,dodge,2015,clean vehicle,88398.0,white,california,2 days left,5100,0
challenger,dodge,2019,clean vehicle,27957.0,black,california,8 days left,18900,0
durango,dodge,2019,clean vehicle,30161.0,silver,california,8 days left,24000,1
challenger,dodge,2015,clean vehicle,26292.0,white,california,2 days left,38800,1
durango,dodge,2019,clean vehicle,25780.0,white,california,8 days left,24500,1
durango,dodge,2019,clean vehicle,25032.0,black,california,8 days left,24500,1
door,dodge,2016,clean vehicle,72248.0,blue,new jersey,2 days left,6500,0
durango,dodge,2019,clean vehicle,30630.0,gray,california,8 days left,24000,1
door,dodge,2014,clean vehicle,86125.0,no_color,california,21 hours left,18000,0
durango,dodge,2019,clean vehicle,30408.0,white,california,8 days left,24000,1
durango,dodge,2019,clean vehicle,35443.0,silver,california,8 days left,23500,1
van,dodge,2014,clean vehicle,95377.0,white,california,2 days left,4500,0
durango,dodge,2019,clean vehicle,32724.0,silver,california,8 days left,25900,1
caravan,dodge,2019,clean vehicle,45089.0,gray,california,8 days left,13900,0
journey,dodge,2019,clean vehicle,35948.0,silver,california,8 days left,14200,0
caravan,dodge,2019,clean vehicle,41601.0,blue,california,8 days left,15400,0
challenger,dodge,2019,clean vehicle,26370.0,gray,texas,1 days left,17500,0
caravan,dodge,2019,clean vehicle,18271.0,white,texas,2 days left,17500,0
caravan,dodge,2019,clean vehicle,9476.0,white,texas,1 days left,18000,0
door,dodge,2012,clean vehicle,80899.0,gray,new jersey,2 days left,25200,1
caravan,dodge,2018,clean vehicle,57394.0,black,texas,2 days left,14100,0
caravan,dodge,2018,clean vehicle,42190.0,white,california,8 days left,13300,0
caravan,dodge,2019,clean vehicle,22591.0,black,oklahoma,21 hours left,16200,0
caravan,dodge,2018,clean vehicle,48681.0,gray,california,8 days left,13300,0
caravan,dodge,2018,clean vehicle,42621.0,silver,california,8 days left,13100,0
caravan,dodge,2017,clean vehicle,27761.0,silver,california,8 days left,15500,0
door,dodge,2013,salvage insurance,107768.0,white,california,18 hours left,4500,0
durango,dodge,2019,clean vehicle,14355.0,gray,colorado,3 days left,28400,1
caravan,dodge,2019,clean vehicle,9467.0,gray,colorado,3 days left,17400,0
door,dodge,2014,clean vehicle,122837.0,silver,florida,53 minutes,6000,0
challenger,dodge,2019,clean vehicle,18313.0,gray,virginia,2 days left,20700,1
challenger,dodge,2019,clean vehicle,19506.0,black,virginia,2 days left,20300,0
journey,dodge,2018,clean vehicle,14750.0,black,oklahoma,21 hours left,14000,0
challenger,dodge,2019,clean vehicle,11280.0,green,virginia,2 days left,22000,1
journey,dodge,2019,clean vehicle,13944.0,blue,virginia,2 days left,17200,0
door,dodge,2016,clean vehicle,26922.0,blue,oklahoma,21 hours left,15000,0
journey,dodge,2019,clean vehicle,12690.0,gray,virginia,2 days left,17500,0
door,dodge,2013,salvage insurance,239822.0,gray,michigan,2 days left,1300,0
door,dodge,2014,salvage insurance,74975.0,red,nevada,3 days left,1750,0
caravan,dodge,2019,clean vehicle,28289.0,red,florida,21 hours left,16300,0
caravan,dodge,2019,clean vehicle,38041.0,red,florida,21 hours left,15700,0
journey,dodge,2017,clean vehicle,52386.0,silver,florida,2 days left,10000,0
charger,dodge,2019,clean vehicle,34391.0,white,florida,21 hours left,23100,1
caravan,dodge,2019,clean vehicle,39515.0,red,florida,21 hours left,14900,0
journey,dodge,2019,clean vehicle,22074.0,orange,virginia,2 days left,16700,0
caravan,dodge,2019,clean vehicle,28782.0,white,florida,21 hours left,16300,0
durango,dodge,2019,clean vehicle,30092.0,red,north carolina,21 hours left,25800,1
challenger,dodge,2019,clean vehicle,26443.0,black,north carolina,21 hours left,23800,1
journey,dodge,2019,clean vehicle,28981.0,red,north carolina,21 hours left,16800,0
journey,dodge,2019,clean vehicle,32865.0,white,north carolina,21 hours left,15500,0
door,dodge,2014,clean vehicle,117258.0,blue,florida,23 hours left,6000,0
durango,dodge,2019,clean vehicle,16397.0,white,arizona,20 hours left,26900,1
caravan,dodge,2019,clean vehicle,16176.0,white,arizona,20 hours left,16900,0
caravan,dodge,2019,clean vehicle,1091.0,gray,arizona,20 hours left,19500,0
